model,n_T,sample_seed,model_seed,train_rows,val_rows,test_rows,b_scale,test_rmse,test_mae,rmse_interp,rmse_extrap,n_interp,n_extrap,elapsed_s
A,2,1,456,17232,1915,19019,,0.2619962394237518,0.1813093572854995,0.2376714804967296,0.2675271397340598,3693,15326,10.7
Bc,2,1,42,17232,1915,19019,1371.543918755738,0.2613025605678558,0.181585431098938,0.2246568812414841,0.2693885129637102,3693,15326,11.3
Bc,2,1,123,17232,1915,19019,1371.543918755738,0.2589659392833709,0.1795349419116974,0.2306695707615667,0.2653335255180462,3693,15326,12.3
Bc,2,1,456,17232,1915,19019,1371.543918755738,0.2582645714282989,0.1820636987686157,0.227436801134294,0.2651576014641115,3693,15326,12.4
A,2,2,42,17218,1913,19019,,0.2635299563407898,0.1838457882404327,0.2311780695433735,0.2707290886925085,3685,15334,10.9
A,2,2,123,17218,1913,19019,,0.2882009446620941,0.1999833285808563,0.2520795600442569,0.2962257894167893,3685,15334,7.6
A,2,2,456,17218,1913,19019,,0.2695921063423157,0.1880311965942382,0.2310908329951056,0.2780511604885331,3685,15334,11.2
Bc,2,2,42,17218,1913,19019,1370.028167343818,0.2587508857250213,0.1791329979896545,0.2408045453175152,0.2628811679611084,3685,15334,11.0
Bc,2,2,123,17218,1913,19019,1370.028167343818,0.266173243522644,0.185478076338768,0.2394593570486676,0.2722025613572997,3685,15334,11.3
Bc,2,2,456,17218,1913,19019,1370.028167343818,0.2688570618629455,0.1883200109004974,0.240680414313096,0.2751987580583447,3685,15334,10.7
A,3,0,42,25853,2872,19019,,0.2361991107463836,0.1656099408864975,0.210451227705932,0.2457368348018238,5431,13588,16.9
A,3,0,123,25853,2872,19019,,0.2301497608423233,0.1607468426227569,0.2068360167166886,0.2388323092007618,5431,13588,17.7
A,3,0,456,25853,2872,19019,,0.2418434917926788,0.1704153716564178,0.2085186059029602,0.2539427746977979,5431,13588,17.1
Bc,3,0,42,25853,2872,19019,1370.050526094347,0.2442903965711593,0.1727140545845031,0.2223811240279671,0.2525161428840392,5431,13588,14.3
Bc,3,0,123,25853,2872,19019,1370.050526094347,0.2549203336238861,0.179653912782669,0.2375227654653323,0.261550486588596,5431,13588,12.2
Bc,3,0,456,25853,2872,19019,1370.050526094347,0.2275122702121734,0.158385545015335,0.2096706400563833,0.2342636042372667,5431,13588,18.8
A,3,1,42,25852,2872,19019,,0.2453254759311676,0.1730346828699112,0.2187430329490177,0.255490756795736,5556,13463,14.5
A,3,1,123,25852,2872,19019,,0.2348800599575042,0.1646028012037277,0.2035416788850524,0.2466550572479209,5556,13463,17.4
A,3,1,456,25852,2872,19019,,0.2410667240619659,0.1706243306398391,0.2140947162305397,0.2513554466760117,5556,13463,15.4
Bc,3,1,42,25852,2872,19019,1370.901832605431,0.2286489307880401,0.1610519737005233,0.2095707433857075,0.2360732415526746,5556,13463,16.3
Bc,3,1,123,25852,2872,19019,1370.901832605431,0.2441879361867904,0.1716946512460708,0.222419625609988,0.2526252349916994,5556,13463,13.5
Bc,3,1,456,25852,2872,19019,1370.901832605431,0.2331916540861129,0.1644658744335174,0.2130882995431332,0.2409997077758939,5556,13463,16.1
A,3,2,42,25866,2874,19019,,0.2482192814350128,0.1743195056915283,0.2213162861053972,0.2583995796431795,5514,13505,12.8
A,3,2,123,25866,2874,19019,,0.2369453758001327,0.168256014585495,0.2059836500746265,0.2484801393073767,5514,13505,17.1
A,3,2,456,25866,2874,19019,,0.252671867609024,0.1753311306238174,0.2225698753827925,0.2639772770249808,5514,13505,12.1
Bc,3,2,42,25866,2874,19019,1369.1041533449163,0.2310065329074859,0.1601635068655014,0.2043278391540966,0.2410518637048529,5514,13505,16.3
Bc,3,2,123,25866,2874,19019,1369.1041533449163,0.2339565455913543,0.1626762002706527,0.2087319628415831,0.2435054960503835,5514,13505,15.9
Bc,3,2,456,25866,2874,19019,1369.1041533449163,0.2299044579267501,0.1611509174108505,0.2082200245396802,0.2381911799615232,5514,13505,17.1
A,all,0,42,67716,7524,19019,,0.2061061561107635,0.143451526761055,0.1800823414210252,0.2241062566379803,8277,10742,37.3
A,all,0,123,67716,7524,19019,,0.210315853357315,0.1435378342866897,0.182733487404175,0.2293168497014561,8277,10742,36.0
A,all,0,456,67716,7524,19019,,0.2067261189222335,0.1428662240505218,0.1805146561369502,0.2248480533093231,8277,10742,41.1
