model,split,seed,b_scale,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n
Bc_GINE,coldpair,456,1381.8783086609385,392.3,0.2250642538693736,0.1601289010848065,0.9663195417874522,80806,0.5045596073863967,0.3300622842677368,0.8281271485975337,10187,0.5255936445369706,0.3371845347104736,0.8205017544503154,9990
A_GINE,coldsol,42,,255.6,0.3489472141680653,0.2534595498038456,0.9199340526652456,81610,0.8237757137964719,0.6424557989237576,0.5090070155129562,8937,0.9819359072694972,0.7511067716904156,0.3506425099165338,10436
A_GINE,coldsol,123,,156.6,0.645735049107899,0.4782803740088284,0.7258191649151216,81610,0.8378862156642193,0.6376321390571473,0.4920424614181092,8937,0.9708577412550672,0.7307378407140775,0.3652119141861617,10436
A_GINE,coldsol,456,,326.7,0.3124806269755448,0.2212335099426509,0.9357941543681632,81610,0.8218645134399998,0.6331650268588603,0.5112826286449677,8937,0.9471729612036364,0.7304707749171367,0.3958063523367064,10436
Bc_GINE,coldsol,42,1388.0578595869097,283.6,0.3611099109256583,0.2616934467734185,0.9142553184281988,81610,0.8171441667919233,0.6313428600300448,0.516880365325332,8937,0.9488624625937844,0.7370771507765378,0.3936489925869856,10436
Bc_GINE,coldsol,123,1388.0578595869097,299.5,0.3284189591174868,0.2379245051375734,0.9290773725754968,81610,0.833976336685349,0.6478169608200134,0.4967720264758344,8937,0.9531627988257008,0.7467070921588872,0.388140455659489,10436
Bc_GINE,coldsol,456,1388.0578595869097,167.1,0.5456689187949136,0.4054735942699464,0.8042116664464798,81610,0.8196571486484929,0.6317364448978686,0.5139042987861406,8937,1.0078633938804027,0.7730742438231366,0.3158979140985097,10436
A_GINE,coldsol_textrap,42,,197.6,0.3657198005461393,0.2672325875322699,0.9089891260278912,81040,0.8571586168181979,0.6483163322804413,0.5390888804891365,8806,0.9496840692156612,0.6897614691830248,0.4469912788168471,2820
A_GINE,coldsol_textrap,123,,191.2,0.3769008905759265,0.2734009074157008,0.9033391380162044,81040,0.87945286479679,0.6675612328821339,0.5148009623519514,8806,0.9116966021076244,0.6485631766257822,0.4903472792123513,2820
A_GINE,coldsol_textrap,456,,173.3,0.4040470979376716,0.2942006693868297,0.8889137464940176,81040,0.8625230871832763,0.656398030502068,0.5333016641691914,8806,0.987555106660466,0.7069347754894658,0.4020066522009236,2820
Bc_GINE,coldsol_textrap,42,1385.0766739779656,125.8,0.5801204466782821,0.4305839971988349,0.7710014766990632,81040,0.8849124431356536,0.6838361670509463,0.5087581041045217,8806,0.9568795829676964,0.6942016868449373,0.4385795204009679,2820
Bc_GINE,coldsol_textrap,123,1385.0766739779656,166.4,0.4066273687412911,0.2957597723676315,0.8874904082482904,81040,0.8961828377862155,0.6795020627523606,0.496165339891665,8806,0.9590134870352944,0.7014252077368069,0.4360727195557312,2820
Bc_GINE,coldsol_textrap,456,1385.0766739779656,143.1,0.4919087339855454,0.3619146431222514,0.8353486091264128,81040,0.8824012365541901,0.6720327958751215,0.5115422428543568,8806,0.9741595129540456,0.7221011247752764,0.4181194690307563,2820
A_GINE,random,42,,846.4,0.1774554463658162,0.1226938760354798,0.9791833880156864,80786,0.1920781797697182,0.1339822179160319,0.975346833668356,10098,0.2020083455611125,0.1342795892031871,0.9719179451781856,10099
A_GINE,textrap,42,,735.3,0.1848960806158238,0.1283226277233719,0.977127202571464,67902,0.1974423965406875,0.1382083879439291,0.9731670013939726,7385,0.2374714712652756,0.1747871070379801,0.9607395090890828,25696
A_GINE,textrap,123,,755.3,0.1857972961048974,0.128894579884546,0.9769036872249544,67902,0.1971856451669162,0.1390493238268314,0.973236742543074,7385,0.2354217376025461,0.1736725702656896,0.9614143374877372,25696
A_GINE,textrap,456,,755.7,0.1955930535960003,0.1344273129448789,0.9744040809962178,67902,0.2063360079140699,0.1431263094543117,0.9706952225199008,7385,0.2411001564042075,0.1753890257349271,0.9595305013702434,25696
