model,split,seed,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n,b_scale
A_MLP,coldpair,123,33.3,0.21045738458633423,0.14806410670280457,0.970549458759949,80806,0.5019943118095398,0.33486780524253845,0.8298703853445757,10187,0.5649994015693665,0.36817336082458496,0.7925774650365407,9990,
A_MLP,coldpair,456,25.7,0.2271685004234314,0.16109049320220947,0.965686807856789,80806,0.5096149444580078,0.3492288887500763,0.8246657781092573,10187,0.5580269694328308,0.3703172206878662,0.7976652937746143,9990,
Bc_MLP,coldpair,42,31.3,0.20193499326705933,0.14152909815311432,0.9728863402321482,80806,0.49572330713272095,0.3355167508125305,0.8340944254262208,10187,0.5598106980323792,0.3702569007873535,0.7963696921381197,9990,1381.8783086609383
Bc_MLP,coldpair,123,27.4,0.23371505737304688,0.16579553484916687,0.963680629947875,80806,0.5010948777198792,0.34455758333206177,0.8304794941668843,10187,0.5567619204521179,0.3708895444869995,0.7985816314144667,9990,1381.8783086609383
Bc_MLP,coldpair,456,42.0,0.1853468120098114,0.1287725418806076,0.9771579426648822,80806,0.49816447496414185,0.33216750621795654,0.8324564038846795,10187,0.5439574122428894,0.3545056879520416,0.8077396246906134,9990,1381.8783086609383
A_MLP,coldsol_textrap,42,17.2,0.26874780654907227,0.1884773075580597,0.9508542296183489,81040,0.8436113595962524,0.6476625204086304,0.5535429611585476,8806,0.9406093955039978,0.6521287560462952,0.4575092376992407,2820,
A_MLP,coldsol_textrap,123,17.7,0.2778623700141907,0.193197101354599,0.9474641495199316,81040,0.850365400314331,0.6407973766326904,0.5463656250902225,8806,0.9218138456344604,0.6479697227478027,0.4789730600194585,2820,
A_MLP,coldsol_textrap,456,28.8,0.22556892037391663,0.154221773147583,0.9653777829060404,81040,0.8311765193939209,0.6233046054840088,0.5666075445563772,8806,0.9343962073326111,0.653297483921051,0.4646524497473833,2820,
Bc_MLP,coldsol_textrap,42,23.1,0.24663585424423218,0.17195694148540497,0.9586087291767468,81040,0.8473924994468689,0.634691596031189,0.5495318871548027,8806,0.9143033623695374,0.6533788442611694,0.48742861777859503,2820,1385.0766739779656
Bc_MLP,coldsol_textrap,123,17.7,0.282525897026062,0.19512540102005005,0.9456858606992229,81040,0.8379700183868408,0.6332598328590393,0.5594940381050639,8806,0.948701798915863,0.6631272435188293,0.4481346345030668,2820,1385.0766739779656
Bc_MLP,coldsol_textrap,456,27.2,0.22257965803146362,0.1519116312265396,0.9662893373122995,81040,0.8392677903175354,0.6326526999473572,0.5581286060689965,8806,0.944865345954895,0.6524560451507568,0.45258897642342955,2820,1385.0766739779656
